term1	term2	score
auction house manager	waste management supervisor	0
auction house manager	tumbling machine operator	0
auction house manager	tub washer	0
auction house manager	telecommunications engineer	0
auction house manager	broadcast engineer	0
auction house manager	civil registrar	0
auction house manager	senior registrar	0
software analyst	software analyst	1
software analyst	programming analyst	1
software analyst	software requirement analyst	1
software analyst	economic policy officer	0
software analyst	policy officer for economy	0
software analyst	fruit and vegetables specialised seller	0
software analyst	organic fruit and vegetable specialised seller	0
software analyst	exhibition curator	0
software analyst	art gallery curator	0
software analyst	intelligent lighting engineer	0
software analyst	intelligent lighting technician	0
accounting manager	accounting manager	1
accounting manager	accounting office manager	1
accounting manager	financial director	1
accounting manager	technical sales representative in office machinery and equipment	0
accounting manager	office machinery and equipment outside technical sales representative	0
accounting manager	outdoor activities instructor	0
accounting manager	outdoor pursuits group leader	0
accounting manager	water treatment systems operator	0
accounting manager	water quality tester	0
accounting manager	head of workshop	0
accounting manager	deputy workshop manager	0
foundry manager	foundry manager	1
foundry manager	process manager	1
foundry manager	foundry production manager	1
foundry manager	computer hardware repair technician	0
foundry manager	computer service agent	0
foundry manager	door supervisor	0
foundry manager	nightclub doorman	0
foundry manager	fish preparation operator	0
foundry manager	seafood preparation operator	0
foundry manager	benefits advice worker	0
foundry manager	advice worker, benefits	0
telecommunications technician	telecommunications technician	1
telecommunications technician	telecommunications systems technician	1
telecommunications technician	telecoms technician	1
telecommunications technician	costume maker	0
telecommunications technician	costumer	0
telecommunications technician	creative director	0
telecommunications technician	advertising director	0
telecommunications technician	brew house operator	0
telecommunications technician	brewing operator	0
telecommunications technician	sewerage cleaner	0
promotions demonstrator	promotions demonstrator	1
promotions demonstrator	filling station sales demonstrator	1
promotions demonstrator	senior sales demonstrator	1
promotions demonstrator	recreation policy officer	0
promotions demonstrator	sports and recreation policy advisor	0
promotions demonstrator	medical records manager	0
promotions demonstrator	supervisor of medical records	0
promotions demonstrator	precast moulder	0
promotions demonstrator	hand tile-moulder	0
promotions demonstrator	mergers and acquisitions analyst	0
promotions demonstrator	acquisition manager	0
maritime instructor	maritime instructor	1
maritime instructor	boating instructor	1
maritime instructor	ship pilot trainer	1
maritime instructor	motor vehicle shop manager	0
maritime instructor	sales manager motor trade	0
maritime instructor	engineering assistant	0
maritime instructor	technical support worker	0
maritime instructor	gas distribution engineer	0
maritime instructor	gas distribution process engineer	0
maritime instructor	cocoa mill operator	0
maritime instructor	cocoa mill worker	0
foreign exchange trader	foreign exchange trader	1
foreign exchange trader	foreign exchange handler	1
foreign exchange trader	foreign exchange dealers	1
foreign exchange trader	tram driver	0
foreign exchange trader	light rail vehicle driver	0
foreign exchange trader	technical sales representative in machinery and industrial equipment	0
foreign exchange trader	technical salespeople in industrial equipment	0
foreign exchange trader	prepared meals nutritionist	0
foreign exchange trader	medical practice manager	0
foreign exchange trader	medical practice supervisor	0
aerospace engineering technician	aerospace engineering technician	1
aerospace engineering technician	aeronautics engineering technician	1
aerospace engineering technician	aero spatial technologist	1
aerospace engineering technician	marine engineer	0
aerospace engineering technician	marine engineering specialist	0
aerospace engineering technician	public speaking coach	0
aerospace engineering technician	public speaking mentor	0
aerospace engineering technician	surface mine plant operator	0
aerospace engineering technician	quarry earth moving equipment operative	0
aerospace engineering technician	aquaculture rearing technician	0
aerospace engineering technician	technician in aquaculture rearing	0
table saw operator	table saw operator	1
table saw operator	table saw machine operator	1
table saw operator	cut-off saw operator	1
table saw operator	food grader	0
table saw operator	food product grader	0
table saw operator	building materials specialised seller	0
table saw operator	building materials salesperson	0
table saw operator	ornamental metal worker	0
table saw operator	welder fabricator installer	0
table saw operator	crowd controller	0
table saw operator	steward	0
bridge construction supervisor	bridge construction supervisor	1
bridge construction supervisor	bridge construction site supervisor	1
bridge construction supervisor	bridgebuilding supervisor	1
bridge construction supervisor	furniture shop manager	0
bridge construction supervisor	outdoor furniture shop manager	0
bridge construction supervisor	import export specialist in wood and construction materials	0
bridge construction supervisor	graduate export specialist in wood and construction materials	0
bridge construction supervisor	nonwoven staple machine operator	0
bridge construction supervisor	non-woven staple machinist	0
bridge construction supervisor	liquor grinding mill operator	0
bricklayer	bricklayer	1
bricklayer	specialist brick layer	1
bricklayer	brick laying labourer	1
bricklayer	cider fermentation operator	0
bricklayer	cider products fermenter	0
bricklayer	membership manager	0
bricklayer	membership sales manager	0
bricklayer	import export manager in sugar, chocolate and sugar confectionery	0
bricklayer	graduate import manager in sugar, chocolate and sugar confectionery	0
bricklayer	social security inspector	0
bricklayer	single fraud investigation service officer	0
meat cutter	meat cutter	1
meat cutter	trimmer	1
meat cutter	meat trimmers	1
meat cutter	aerodynamics engineer	0
meat cutter	aerodynamic engineering consultant	0
meat cutter	meat and meat products specialised seller	0
meat cutter	meat counter specialised seller	0
meat cutter	corporate training manager	0
meat cutter	learning programmes manager	0
meat cutter	second-hand shop manager	0
meat cutter	charity store manager	0
criminologist	criminologist	1
criminologist	criminology science researcher	1
criminologist	criminology studies scholar	1
criminologist	drugstore manager	0
criminologist	drugstore counter manager	0
criminologist	textile designer	0
criminologist	print designer	0
criminologist	import export specialist in fruit and vegetables	0
criminologist	assistant import export specialist in fruit and vegetables	0
criminologist	monk/nun	0
criminologist	nun	0
video operator	video operator	1
video operator	visual and graphic operator	1
video operator	projection operator	1
video operator	pharmaceutical engineer	0
video operator	pharmaceutical research engineer	0
video operator	wood caulker	0
video operator	wooden hull caulker	0
video operator	social care worker	0
video operator	care worker	0
video operator	kitchen unit installer	0
video operator	kitchen joiner and fitter	0
fish and seafood specialised seller	fish and seafood specialised seller	1
fish and seafood specialised seller	fresh fish salesperson	1
fish and seafood specialised seller	fish market salesperson	1
fish and seafood specialised seller	motorcycle delivery person	0
fish and seafood specialised seller	timed delivery motorcycle driver	0
fish and seafood specialised seller	cosmetic chemist	0
fish and seafood specialised seller	formulation development chemist	0
fish and seafood specialised seller	sophrologist	0
fish and seafood specialised seller	sophrology practitioner	0
fish and seafood specialised seller	visual merchandiser	0
fish and seafood specialised seller	visual merchandising supervisor	0
oil and gas production manager	oil and gas production manager	1
oil and gas production manager	oil production manager	1
oil and gas production manager	oilfield production manager	1
oil and gas production manager	dance répétiteur	0
oil and gas production manager	assistant choreographer	0
oil and gas production manager	veterinary receptionist	0
oil and gas production manager	veterinary receptionists	0
oil and gas production manager	producer	0
oil and gas production manager	tour production manager	0
oil and gas production manager	ict application developer	0
oil and gas production manager	application software developers	0
metallurgical technician	metallurgical technician	1
metallurgical technician	metallurgy test technician	1
metallurgical technician	mining technician	1
metallurgical technician	harp maker	0
metallurgical technician	celtic harp builder	0
metallurgical technician	real estate leasing manager	0
metallurgical technician	commercial leasing manager	0
metallurgical technician	industrial maintenance supervisor	0
metallurgical technician	maintenance machining and assembly supervisor	0
metallurgical technician	construction scaffolding supervisor	0
metallurgical technician	scaffold erection foreman	0
spinning textile technician	spinning textile technician	1
spinning textile technician	spinning and winding supervisor	1
spinning textile technician	textile technician for spinning	1
spinning textile technician	drainage engineer	0
spinning textile technician	drainage engineering adviser	0
spinning textile technician	photojournalist	0
spinning textile technician	visual journalist	0
spinning textile technician	granulator machine operator	0
spinning textile technician	pharmaceutical granulating machine operator	0
spinning textile technician	hospital social worker	0
spinning textile technician	public health social worker	0
resilient floor layer	resilient floor layer	1
resilient floor layer	vinyl floor installer	1
resilient floor layer	layer of resilient floor	1
resilient floor layer	hot foil operator	0
resilient floor layer	hot press technician	0
resilient floor layer	analytical chemist	0
resilient floor layer	analytical chemistry analyst	0
resilient floor layer	scrap metal operative	0
resilient floor layer	metal shredder operator	0
resilient floor layer	publications coordinator	0
resilient floor layer	head of publications	0
textile quality technician	textile quality technician	1
textile quality technician	textile texting technician	1
textile quality technician	textile quality laboratory analyst	1
textile quality technician	street lighting electrician	0
textile quality technician	highway lights operative	0
textile quality technician	supply chain assistant	0
textile quality technician	supply chain logistics assistant	0
textile quality technician	ship assistant engineer	0
textile quality technician	junior ship engineer	0
textile quality technician	aircraft maintenance engineer	0
textile quality technician	air transportation engineer	0
curing room worker	curing room worker	1
curing room worker	tobacco curing room workers	1
curing room worker	tobacco drying machine operator	1
curing room worker	game keeper	0
curing room worker	estate supervisor	0
curing room worker	product manager	0
curing room worker	product development manager	0
curing room worker	deck officer	0
curing room worker	ship first officer	0
curing room worker	humanitarian advisor	0
curing room worker	non governmental organisation officer	0
enameller	enameller	1
enameller	metal enameller	1
enameller	platinum enameller	1
enameller	kiln firer	0
enameller	decorating-kiln firer	0
enameller	block machine operator	0
enameller	block-making machine operator	0
enameller	production plant crane operator	0
enameller	tower crane technicians	0
enameller	ethical hacker	0
enameller	system security tester	0
recruitment consultant	recruitment consultant	1
recruitment consultant	job placement officer	1
recruitment consultant	employee recruiter	1
recruitment consultant	production engineer	0
recruitment consultant	production engineering expert	0
recruitment consultant	social counsellor	0
recruitment consultant	rehabilitation support counsellor	0
recruitment consultant	kennel worker	0
recruitment consultant	pet caretaker	0
recruitment consultant	medical records manager	0
recruitment consultant	supervisor of medical records	0
actuarial consultant	actuarial consultant	1
actuarial consultant	actuaries	1
actuarial consultant	actuarial analyst	1
actuarial consultant	grinding machine operator	0
actuarial consultant	grinding machine worker	0
actuarial consultant	ict security administrator	0
actuarial consultant	system security administrator	0
actuarial consultant	blogger	0
actuarial consultant	on-line content writer	0
actuarial consultant	emergency response coordinator	0
actuarial consultant	emergency coordinator	0
lighting designer	lighting designer	1
lighting designer	lighting technician and designer	1
lighting designer	lighting designer & technician	1
lighting designer	financial controller	0
lighting designer	corporate controller	0
lighting designer	aquaculture harvesting technician	0
lighting designer	aquaculture harvesting inspector	0
lighting designer	rolling stock inspector	0
lighting designer	railway carriage and wagon supervisor	0
lighting designer	textile chemical quality technician	0
lighting designer	textile chemical quality analyst	0
dance répétiteur	dance répétiteur	1
dance répétiteur	assistant choreographer	1
dance répétiteur	assistant choreographer and repetiteur	1
dance répétiteur	spot welder	0
dance répétiteur	robotic welder	0
dance répétiteur	fish, crustaceans and molluscs distribution manager	0
dance répétiteur	fish, crustaceans and molluscs supply chain planner	0
dance répétiteur	cabinet maker	0
dance répétiteur	maker of kitchen cabinets	0
dance répétiteur	it auditor	0
dance répétiteur	it quality appraiser	0
automotive battery technician	automotive battery technician	1
automotive battery technician	automotive battery tester	1
automotive battery technician	battery installer	1
automotive battery technician	groundsman/groundswoman	0
automotive battery technician	groundskeeping worker	0
automotive battery technician	pulp grader	0
automotive battery technician	pulp and paper grader	0
automotive battery technician	railway car upholsterer	0
automotive battery technician	train coach upholsterer	0
automotive battery technician	glass installation supervisor	0
automotive battery technician	window installation supervisor	0
footwear designer	footwear designer	1
footwear designer	shoe designer	1
footwear designer	footwear cad designer	1
footwear designer	data quality specialist	0
footwear designer	data quality specialists	0
footwear designer	chemical tester	0
footwear designer	roofer	0
footwear designer	tinsmith	0
footwear designer	water conservation technician supervisor	0
footwear designer	water recovery systems installation supervisor	0
public employment service manager	public employment service manager	1
public employment service manager	jobcentre manager	1
public employment service manager	jobcentre plus manager	1
public employment service manager	test engineer	0
public employment service manager	agricultural equipment test engineer	0
public employment service manager	digital games developer	0
public employment service manager	video games developer	0
public employment service manager	nursery school head teacher	0
public employment service manager	kindergarten director	0
public employment service manager	digital games tester	0
public employment service manager	digital games testers	0
clothing product grader	clothing product grader	1
clothing product grader	clothing patternmaker	1
clothing product grader	pattern developer/grader	1
clothing product grader	specialised veterinarian	0
clothing product grader	porcine health management veterinarian	0
clothing product grader	sculptor	0
clothing product grader	clay sculptress	0
clothing product grader	sign maker	0
clothing product grader	traffic sign maker	0
clothing product grader	wood drying kiln operator	0
clothing product grader	dry kiln technician	0
public administration manager	public administration manager	1
public administration manager	public administration director	1
public administration manager	public institution director	1
public administration manager	road operations manager	0
public administration manager	road operations supervisor	0
public administration manager	fire inspector	0
public administration manager	fire prevention officer	0
public administration manager	electrical equipment inspector	0
public administration manager	electrical appliance inspector	0
public administration manager	telecommunication equipment shop manager	0
public administration manager	phone store manager	0
credit analyst	credit analyst	1
credit analyst	credit clerk	1
credit analyst	analyst of credits	1
credit analyst	textile pattern making machine operator	0
credit analyst	textile pattern machine operator	0
credit analyst	aviation safety officer	0
credit analyst	aviation security officer	0
credit analyst	cylindrical grinder operator	0
credit analyst	disc grinder	0
credit analyst	green coffee coordinator	0
credit analyst	coffee coordinator	0
plumbing supervisor	plumbing supervisor	1
plumbing supervisor	commercial plumbing supervisor	1
plumbing supervisor	supervising plumber	1
plumbing supervisor	photonics engineering technician	0
plumbing supervisor	optical systems technologist	0
plumbing supervisor	robotics engineer	0
plumbing supervisor	robotic engineer	0
plumbing supervisor	audiologist	0
plumbing supervisor	paediatric audiologist	0
plumbing supervisor	event scaffolder	0
plumbing supervisor	scaffolding team member	0
securities analyst	securities analyst	1
securities analyst	securities research director	1
securities analyst	shares analyst	1
securities analyst	football coach	0
securities analyst	football trainer	0
securities analyst	political affairs officer	0
securities analyst	prime minister adviser	0
securities analyst	3d animator	0
securities analyst	3d animators	0
securities analyst	military engineer	0
securities analyst	defence technology engineering adviser	0
dancer	dancer	1
dancer	dance artist	1
dancer	show dancer	1
dancer	electric power generation engineer	0
dancer	power station engineer	0
dancer	chemical mixer	0
dancer	chemical mixer worker	0
dancer	embedded system designer	0
dancer	embedded system developer	0
dancer	ticket issuing clerk	0
dancer	museum ticket selling agent	0
bespoke footwear technician	bespoke footwear technician	1
bespoke footwear technician	custom made footwear technician	1
bespoke footwear technician	custom shoemaker	1
bespoke footwear technician	survey enumerator	0
bespoke footwear technician	commercial census taker	0
bespoke footwear technician	import export manager in china and other glassware	0
bespoke footwear technician	international trade manager in china and glassware	0
bespoke footwear technician	chief data officer	0
bespoke footwear technician	chief analytics officer	0
bespoke footwear technician	metrology technician	0
bespoke footwear technician	color scientist	0
judge	judge	1
judge	investigating magistrate	1
judge	deputy circuit judge	1
judge	furniture assembler	0
judge	furniture assembly technician	0
judge	pyrotechnician	0
judge	pyrotechnics specialist	0
judge	agricultural equipment design engineer	0
judge	agricultural equipment engineering consultant	0
judge	cloak room attendant	0
judge	coatroom assistant	0
puppet designer	puppet designer	1
puppet designer	puppet designer & builder	1
puppet designer	puppet designer and builder	1
puppet designer	tourist information centre manager	0
puppet designer	tourist information centre (tic) manager	0
puppet designer	fluid power engineer	0
puppet designer	fluid power assembler	0
puppet designer	costume maker	0
puppet designer	costumer	0
puppet designer	front line medical receptionist	0
puppet designer	front desk assistant	0
flexographic press operator	flexographic press operator	1
flexographic press operator	flexographic printer	1
flexographic press operator	flexographic printing press operator	1
flexographic press operator	container equipment assembly supervisor	0
flexographic press operator	container equipment sub assembler supervisor	0
flexographic press operator	wind musical instrument maker	0
flexographic press operator	brass instrument assembler	0
flexographic press operator	database integrator	0
flexographic press operator	data integrator	0
flexographic press operator	chief technology officer	0
flexographic press operator	it director	0
integration engineer	integration engineer	1
integration engineer	software integration engineer	1
integration engineer	ict integration engineers	1
integration engineer	gas transmission system operator	0
integration engineer	gas transmission system operative	0
integration engineer	health and safety inspector	0
integration engineer	inspector of health and safety	0
integration engineer	railway passenger service agent	0
integration engineer	railway transportation service representative	0
integration engineer	hair stylist	0
integration engineer	hair artist	0
weather forecaster	weather forecaster	1
weather forecaster	weather forecast anchor	1
weather forecaster	meteorology science researcher	1
weather forecaster	agricultural technician	0
weather forecaster	assistant in agricultural research	0
weather forecaster	import export manager in fish, crustaceans and molluscs	0
weather forecaster	senior export manager in fish, crustaceans and molluscs	0
weather forecaster	social work practice educator	0
weather forecaster	practice social work educator	0
weather forecaster	bus driving instructor	0
weather forecaster	bus driver training  instructor	0
street artist	street artist	1
street artist	muralist	1
street artist	street caricaturist	1
street artist	meat preparations operator	0
street artist	meatworker	0
street artist	building construction worker	0
street artist	construction site worker	0
street artist	academic advisor	0
street artist	degree program guidance practitioner	0
street artist	sound editor	0
street artist	dialogue editor	0
spa manager	spa manager	1
spa manager	wellness manager	1
spa manager	spa and wellness manager	1
spa manager	liquid waste treatment plant operator	0
spa manager	liquid waster remediation worker	0
spa manager	airport planning engineer	0
spa manager	aviation development planner	0
spa manager	sensory scientist	0
spa manager	sensory and consumer research scientist	0
spa manager	architect	0
spa manager	building designer	0
professional athlete	professional athlete	1
professional athlete	athlete	1
professional athlete	pole vault athlete	1
professional athlete	upholsterer	0
professional athlete	craft upholsterer	0
professional athlete	motor vehicle parts assembler	0
professional athlete	motor vehicle parts tester	0
professional athlete	laundry worker	0
professional athlete	dry cleaning worker	0
professional athlete	music instructor	0
professional athlete	music school instructor	0
specialised veterinarian	specialised veterinarian	1
specialised veterinarian	porcine health management veterinarian	1
specialised veterinarian	wildlife health management veterinarian	1
specialised veterinarian	radio producer	0
specialised veterinarian	radio broadcast producer	0
specialised veterinarian	residential care home worker	0
specialised veterinarian	care home manager	0
specialised veterinarian	construction manager	0
specialised veterinarian	construction cost consultant	0
specialised veterinarian	contact centre supervisor	0
specialised veterinarian	customer service supervisor	0
automated fly bar operator	automated fly bar operator	1
automated fly bar operator	automation operator & programmer	1
automated fly bar operator	lead automation operator	1
automated fly bar operator	corporate social responsibility manager	0
automated fly bar operator	sustainable services manager	0
automated fly bar operator	spot welder	0
automated fly bar operator	robotic welder	0
automated fly bar operator	traditional chinese medicine therapist	0
automated fly bar operator	therapist in tcm	0
automated fly bar operator	wholesale merchant in office machinery and equipment	0
commissioning technician	commissioning technician	1
commissioning technician	screen printer	0
commissioning technician	silk-screen printing machine oeprator	0
commissioning technician	religious education teacher secondary school	0
commissioning technician	religious education teacher	0
commissioning technician	financial analyst	0
commissioning technician	company analyst	0
commissioning technician	surface grinding machine operator	0
commissioning technician	back grinding machine operator	0
branch manager	branch manager	1
branch manager	regional director	1
branch manager	branch supervisor	1
branch manager	import export manager in office machinery and equipment	0
branch manager	international trade compliance manager in office machinery and equipment	0
branch manager	tourist information officer	0
branch manager	tourist point information officer	0
branch manager	translation agency manager	0
branch manager	language translation agency manager	0
branch manager	copy editor	0
branch manager	language editor	0
search engine optimisation expert	search engine optimisation expert	1
search engine optimisation expert	search engine optimisation specialist	1
search engine optimisation expert	search engine optimiser	1
search engine optimisation expert	crop production manager	0
search engine optimisation expert	crop producer	0
search engine optimisation expert	body artist	0
search engine optimisation expert	tattoo studio assistant	0
search engine optimisation expert	perfume and cosmetics distribution manager	0
search engine optimisation expert	graduate perfume and cosmetics distribution manager	0
search engine optimisation expert	hospital social worker	0
search engine optimisation expert	public health social worker	0
water network operative	water network operative	1
water network operative	water network operator	1
water network operative	water supply network operative	1
water network operative	escort	0
water network operative	male prostitute	0
water network operative	public housing manager	0
water network operative	housing authority manager	0
water network operative	kosher slaughterer	0
water network operative	kosher slaughterperson	0
water network operative	bicycle courier	0
water network operative	bike courier	0
green coffee buyer	green coffee buyer	1
green coffee buyer	green coffee acquisition specialist	1
green coffee buyer	green coffee purchaser	1
green coffee buyer	tufting operator	0
green coffee buyer	yardage-tufting machine operator	0
green coffee buyer	call centre supervisor	0
green coffee buyer	contact centre manager	0
green coffee buyer	receptionist	0
green coffee buyer	receiving clerk	0
green coffee buyer	leather goods product development manager	0
green coffee buyer	product development director leather goods	0
economics lecturer	economics lecturer	1
economics lecturer	economics teacher	1
economics lecturer	university economics lecturer	1
economics lecturer	audiology technician	0
economics lecturer	audiology specialist service technician	0
economics lecturer	aircraft gas turbine engine overhaul technician	0
economics lecturer	aircraft gas turbine engine installation technician	0
economics lecturer	import export specialist in computers, peripheral equipment and software	0
economics lecturer	senior import specialist in computers, peripheral equipment and software	0
economics lecturer	shunter	0
economics lecturer	shunter attendant	0
motor vehicles parts advisor	motor vehicles parts advisor	1
motor vehicles parts advisor	light vehicle parts operative	1
motor vehicles parts advisor	lgv parts operative	1
motor vehicles parts advisor	data centre operator	0
motor vehicles parts advisor	data centre operators	0
motor vehicles parts advisor	computer-aided design operator	0
motor vehicles parts advisor	cam drafter	0
motor vehicles parts advisor	hair removal technician	0
motor vehicles parts advisor	depilation specialist	0
motor vehicles parts advisor	import export specialist in metals and metal ores	0
motor vehicles parts advisor	assistant export specialist in metals and metal ores	0
hairdresser	hairdresser	1
hairdresser	hair cutter	1
hairdresser	scalp treatment specialist	1
hairdresser	cartoonist	0
hairdresser	political cartoonist	0
hairdresser	optical instrument assembler	0
hairdresser	optical equipment fabricator	0
hairdresser	wholesale merchant in watches and jewellery	0
hairdresser	wholesale trader in watches and jewellery	0
hairdresser	arts education officer	0
hairdresser	art mediator	0
art restorer	art restorer	1
art restorer	artifact conservator	1
art restorer	restoration technician	1
art restorer	stagehand	0
art restorer	loader & stage hand	0
art restorer	process metallurgist	0
art restorer	process metallurgy research scientist	0
art restorer	machinery assembly coordinator	0
art restorer	manufacturing co-ordinator	0
art restorer	crop production manager	0
art restorer	crop producer	0
presenter	presenter	1
presenter	video jockey presenter	1
presenter	program host	1
presenter	cultural facilities manager	0
presenter	cultural facilities program coordinator	0
presenter	sales assistant	0
presenter	senior sales assistant	0
presenter	fruit-press operator	0
presenter	fruit press worker	0
presenter	mining assistant	0
golf instructor	golf instructor	1
golf instructor	golf coach	1
golf instructor	junior golf instructor	1
golf instructor	medical device assembler	0
golf instructor	medical appliance assembly technician	0
golf instructor	curator of horticulture	0
golf instructor	curator and horticulturist	0
golf instructor	circus artist	0
golf instructor	german wheel acrobat	0
golf instructor	transport technology vocational teacher	0
golf instructor	transportation technology vocational instructor	0
domestic energy assessor	domestic energy assessor	1
domestic energy assessor	domestic energy sales promoter	1
domestic energy assessor	residential energy saleswoman	1
domestic energy assessor	ride technician	0
domestic energy assessor	theme park technician	0
domestic energy assessor	tailor	0
domestic energy assessor	outfitter	0
domestic energy assessor	video and motion picture director	0
domestic energy assessor	television director	0
domestic energy assessor	metallurgist	0
domestic energy assessor	consultant metallurgist	0
membership administrator	membership administrator	1
membership administrator	account administrator	1
membership administrator	membership and subscription administrator	1
membership administrator	mask maker	0
membership administrator	mask builder and designer	0
membership administrator	pultrusion machine operator	0
membership administrator	pultrusion machine operative	0
membership administrator	audiology equipment specialised seller	0
membership administrator	audiology shop salesperson	0
membership administrator	performance artist	0
membership administrator	impersonator	0
hand lasting operator	hand lasting operator	1
hand lasting operator	hand laster	1
hand lasting operator	hand lasting craftsman	1
hand lasting operator	journalist	0
hand lasting operator	commentator	0
hand lasting operator	aircraft interior technician	0
hand lasting operator	aircraft furniture maker	0
hand lasting operator	clothing sample machinist	0
hand lasting operator	sample clothing sewer	0
hand lasting operator	coking furnace operator	0
hand lasting operator	coke quencher operator	0
nanny	nanny	1
nanny	au pair	1
nanny	duenna	1
nanny	fossil-fuel power plant operator	0
nanny	combined cycle power plant operator	0
nanny	recreational therapist	0
nanny	recreation therapist	0
nanny	land-based machinery technician	0
nanny	land-based machinery mechanic	0
nanny	orthopaedic supply shop manager	0
nanny	orthopaedic articles store manager	0
wholesale merchant in perfume and cosmetics	wholesale merchant in perfume and cosmetics	1
wholesale merchant in perfume and cosmetics	business to business sales consultant in perfume and cosmetics	1
wholesale merchant in perfume and cosmetics	business to business seller in perfume and cosmetics	1
wholesale merchant in perfume and cosmetics	curing room worker	0
wholesale merchant in perfume and cosmetics	tobacco curing room workers	0
wholesale merchant in perfume and cosmetics	police commissioner	0
wholesale merchant in perfume and cosmetics	police chief	0
wholesale merchant in perfume and cosmetics	licensing officer	0
wholesale merchant in perfume and cosmetics	fire protection specialist	0
wholesale merchant in perfume and cosmetics	spokesperson	0
wholesale merchant in perfume and cosmetics	spokesman	0
riveter	riveter	1
riveter	rivet tapper	1
riveter	rivet tosser	1
riveter	mining assistant	0
riveter	slitter operator	0
riveter	slitting machine tender	0
riveter	paper engineer	0
riveter	paper engineer	0
riveter	honey extractor	0
riveter	honey extraction operative	0
stringed musical instrument maker	stringed musical instrument maker	1
stringed musical instrument maker	stringed instrument maker	1
stringed musical instrument maker	cello maker	1
stringed musical instrument maker	legal assistant	0
stringed musical instrument maker	law clerk	0
stringed musical instrument maker	leather goods production supervisor	0
stringed musical instrument maker	leather goods cutting room supervisor	0
stringed musical instrument maker	hair removal technician	0
stringed musical instrument maker	depilation specialist	0
stringed musical instrument maker	mixed farmer	0
stringed musical instrument maker	crofter	0
textile pattern making machine operator	textile pattern making machine operator	1
textile pattern making machine operator	textile pattern machine operator	1
textile pattern making machine operator	textile pattern making operator	1
textile pattern making machine operator	professional athlete	0
textile pattern making machine operator	athlete	0
textile pattern making machine operator	bank manager	0
textile pattern making machine operator	regional bank manager	0
textile pattern making machine operator	gambling, betting, and lottery game developer	0
textile pattern making machine operator	betting, lottery, and gambling games developer	0
textile pattern making machine operator	rental service representative in office machinery and equipment	0
textile pattern making machine operator	rental sales worker in office machinery and equipment	0
ICT test analyst	ict test analyst	1
ICT test analyst	test designer	1
ICT test analyst	it test analyst	1
ICT test analyst	head of workshop	0
ICT test analyst	deputy workshop manager	0
ICT test analyst	wood router operator	0
ICT test analyst	wood routing machine tender	0
ICT test analyst	integrated circuit design engineer	0
ICT test analyst	integrated circuit designer	0
ICT test analyst	textile machine operator	0
ICT test analyst	textile operations supervisor	0
hydraulic forging press worker	hydraulic forging press worker	1
hydraulic forging press worker	hydraulic foundry patternmaker technician	1
hydraulic forging press worker	hydraulic patternmaking operator	1
hydraulic forging press worker	human rights officer	0
hydraulic forging press worker	human rights programme officer	0
hydraulic forging press worker	toymaker	0
hydraulic forging press worker	plaything repairer	0
hydraulic forging press worker	business valuer	0
hydraulic forging press worker	chartered appraiser	0
hydraulic forging press worker	actuarial assistant	0
hydraulic forging press worker	actuarial analyst assistant	0
tissue paper perforating and rewinding operator	tissue paper perforating and rewinding operator	1
tissue paper perforating and rewinding operator	tissue paper perforating and rewinding specialist	1
tissue paper perforating and rewinding operator	tissue paper perforating and rewinding technician	1
tissue paper perforating and rewinding operator	energy systems engineer	0
tissue paper perforating and rewinding operator	energy conservation engineer	0
tissue paper perforating and rewinding operator	aviation meteorologist	0
tissue paper perforating and rewinding operator	aviation meteorological specialist	0
tissue paper perforating and rewinding operator	recreation policy officer	0
tissue paper perforating and rewinding operator	sports and recreation policy advisor	0
tissue paper perforating and rewinding operator	respiratory therapy technician	0
tissue paper perforating and rewinding operator	oxygen therapy technician	0
animal massage therapist	animal massage therapist	1
animal massage therapist	animal masseur	1
animal massage therapist	animal massage therapists	1
animal massage therapist	ceramic painter	0
animal massage therapist	painter of ceramic articles	0
animal massage therapist	wholesale merchant in tobacco products	0
animal massage therapist	wholesale buyer in tobacco products	0
animal massage therapist	road construction worker	0
animal massage therapist	highway construction worker	0
animal massage therapist	fat-purification worker	0
animal massage therapist	fat purifier	0
aircraft engine specialist	aircraft engine specialist	1
aircraft engine specialist	engine test specialist	1
aircraft engine specialist	aeroplane engine technician	1
aircraft engine specialist	rolling stock engineering drafter	0
aircraft engine specialist	rolling stock engineering drafting specialist	0
aircraft engine specialist	tourist information officer	0
aircraft engine specialist	tourist point information officer	0
aircraft engine specialist	textile operations manager	0
aircraft engine specialist	textile production operations manager	0
aircraft engine specialist	cosmologist	0
aircraft engine specialist	evolutionary cosmologist	0
boxing instructor	boxing instructor	1
boxing instructor	kickboxing instructor	1
boxing instructor	kick-boxing instructor	1
boxing instructor	telephone switchboard operator	0
boxing instructor	receptionist telephone operator	0
boxing instructor	housing manager	0
boxing instructor	housing agent	0
boxing instructor	marine engineering drafter	0
boxing instructor	marine engineering drafting specialist	0
boxing instructor	communications lecturer	0
boxing instructor	lecturer in communication and media	0
animal care attendant	animal care attendant	1
animal care attendant	laboratory animal care worker	1
animal care attendant	equine groom	1
animal care attendant	ict network administrator	0
animal care attendant	network manager	0
animal care attendant	legal service manager	0
animal care attendant	legal office head	0
animal care attendant	sign language teacher	0
animal care attendant	british sign language tutor	0
animal care attendant	landscape architect	0
animal care attendant	landscape expert	0
shop assistant	shop assistant	1
